
09be58e8b3451f9bfb03aae473985b5a,30-5-18,09:38:41:UTC,free,mult7,livret0,juste,1
09be58e8b3451f9bfb03aae473985b5a,30-5-18,09:38:44:UTC,free,mult9,livret5,faux,2
09be58e8b3451f9bfb03aae473985b5a,30-5-18,09:38:46:UTC,free,mult6,livret11,juste,2
09be58e8b3451f9bfb03aae473985b5a,30-5-18,09:38:48:UTC,free,mult4,livret11,juste,1
09be58e8b3451f9bfb03aae473985b5a,30-5-18,09:38:55:UTC,free,mult12,livret11,juste,6
09be58e8b3451f9bfb03aae473985b5a,30-5-18,09:39:00:UTC,free,mult4,livret5,faux,4
09be58e8b3451f9bfb03aae473985b5a,30-5-18,09:39:01:UTC,free,mult0,livret0,juste,1
09be58e8b3451f9bfb03aae473985b5a,30-5-18,09:39:09:UTC,5sec,mult5,livret1,juste,1
09be58e8b3451f9bfb03aae473985b5a,30-5-18,09:39:10:UTC,5sec,mult3,livret0,faux,1
09be58e8b3451f9bfb03aae473985b5a,30-5-18,09:39:12:UTC,5sec,mult0,livret1,juste,1
09be58e8b3451f9bfb03aae473985b5a,30-5-18,09:39:14:UTC,5sec,mult7,livret6,faux,1
09be58e8b3451f9bfb03aae473985b5a,30-5-18,09:39:16:UTC,5sec,mult6,livret0,faux,1
